GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mobile-app-ws,com.cars24.slack_hrbp.service.impl,GraphServicesImpl,0,18,0,0,0,2,0,2,0,2
mobile-app-ws,com.cars24.slack_hrbp.service.impl,ListAllEmployeesUnderManagerServiceImpl,0,14,0,0,0,2,0,2,0,2
mobile-app-ws,com.cars24.slack_hrbp.service.impl,HrServiceImpl,81,120,6,6,21,20,4,12,0,10
mobile-app-ws,com.cars24.slack_hrbp.service.impl,UserServiceImpl,83,200,10,16,17,42,11,12,3,7
mobile-app-ws,com.cars24.slack_hrbp.service.impl,UseridAndMonthImpl,7,524,0,28,2,103,0,21,0,7
mobile-app-ws,com.cars24.slack_hrbp.service.impl,MonthBasedServiceImpl,146,879,32,61,26,191,22,45,2,14
mobile-app-ws,com.cars24.slack_hrbp.service.impl,EmployeeServiceImpl,0,25,0,2,0,4,0,3,0,2
mobile-app-ws,com.cars24.slack_hrbp.security,WebSecurity,0,188,0,0,0,34,0,6,0,6
mobile-app-ws,com.cars24.slack_hrbp.security,SecurityConstants,10,0,0,0,3,0,2,0,2,0
mobile-app-ws,com.cars24.slack_hrbp.security,AuthenticationFilter,118,15,0,0,29,5,2,3,2,3
mobile-app-ws,com.cars24.slack_hrbp.security,AuthorizationFilter,126,8,14,0,33,3,10,2,3,2
mobile-app-ws,com.cars24.slack_hrbp.data.dto,UserDto,62,321,43,31,0,10,35,25,0,23
mobile-app-ws,com.cars24.slack_hrbp.util,Utils,26,11,2,0,4,3,2,1,1,1
mobile-app-ws,com.cars24.slack_hrbp.data,Pair,13,63,5,5,0,12,7,6,2,6
mobile-app-ws,com.cars24.slack_hrbp.data.response,EmployeeDisplayResponse,25,130,17,13,0,4,14,12,0,11
mobile-app-ws,com.cars24.slack_hrbp.data.response,SignUpResponse,46,229,32,22,0,7,26,18,0,17
mobile-app-ws,com.cars24.slack_hrbp.data.response,ApiResponse,27,179,18,18,0,6,15,18,0,15
mobile-app-ws,com.cars24.slack_hrbp.data.response,UpdateEmployeeResponse,39,196,27,19,0,6,22,16,0,15
mobile-app-ws,com.cars24.slack_hrbp.data.response,EmployeeDetails,32,163,22,16,0,5,18,14,0,13
mobile-app-ws,com.cars24.slack_hrbp.data.response,GetUserResponse,25,130,17,13,0,4,14,12,0,11
mobile-app-ws,com.cars24.slack_hrbp.data.response,LoginResponse,37,128,17,13,0,9,17,9,3,8
mobile-app-ws,com.cars24.slack_hrbp.data.response,GraphResponse,9,67,6,8,0,2,5,9,0,7
mobile-app-ws,com.cars24.slack_hrbp.data.request,LoginRequest,18,97,12,10,0,3,10,10,0,9
mobile-app-ws,com.cars24.slack_hrbp.data.request,SignUpRequest,43,273,32,30,0,8,25,25,0,19
mobile-app-ws,com.cars24.slack_hrbp.data.request,PasswordVerificationRequest,18,97,12,10,0,3,10,10,0,9
mobile-app-ws,com.cars24.slack_hrbp.data.request,PasswordUpdateRequest,18,97,12,10,0,3,10,10,0,9
mobile-app-ws,com.cars24.slack_hrbp.data.request,AddLeaveRequest,25,130,16,14,0,4,13,13,0,11
mobile-app-ws,com.cars24.slack_hrbp.data.request,CreateEmployeeRequest,25,131,16,14,0,4,13,13,0,11
mobile-app-ws,com.cars24.slack_hrbp.data.request,EmployeeUpdateRequest,16,100,11,11,0,3,9,11,0,9
mobile-app-ws,com.cars24.slack_hrbp,SlackHrbpApplication,14,11,0,0,3,3,2,3,2,3
mobile-app-ws,com.cars24.slack_hrbp,Neo4jConfig,0,8,0,0,0,2,0,2,0,2
